,ssThresh,cWnd,segmentsAcked,segmentSize,bytesInFlight,caState,caEvent,loss
188,4294967295,67320,2,340,0,0,0,0
189,4294967295,67660,2,340,0,0,0,0
190,4294967295,68000,2,340,0,0,0,0
191,4294967295,68340,2,340,0,0,0,0
192,4294967295,68680,2,340,0,0,0,0
193,4294967295,69020,2,340,0,0,0,0
194,4294967295,69360,2,340,0,0,0,0
195,4294967295,69700,2,340,0,0,0,0
196,4294967295,70040,2,340,0,0,0,0
197,4294967295,70380,2,340,0,0,0,0
198,4294967295,70720,2,340,0,0,0,0
199,4294967295,71060,2,340,0,0,0,0
200,4294967295,71400,2,340,0,0,0,0
201,4294967295,71740,2,340,0,0,0,0
202,4294967295,72080,2,340,0,0,0,0
203,4294967295,72420,2,340,0,0,0,0
204,4294967295,72760,2,340,0,0,0,0
205,4294967295,73100,2,340,0,0,0,0
206,4294967295,73440,2,340,0,0,0,0
207,4294967295,73780,2,340,0,0,0,0
208,4294967295,74120,2,340,0,0,0,0
209,4294967295,74460,2,340,0,0,0,0
210,4294967295,74800,2,340,0,0,0,0
211,4294967295,75140,2,340,0,0,0,0
212,4294967295,75480,2,340,0,0,0,0
213,4294967295,75820,2,340,0,0,0,0
214,4294967295,76160,2,340,0,0,0,0
215,4294967295,76500,2,340,0,0,0,0
216,4294967295,76840,2,340,0,0,0,0
217,4294967295,77180,2,340,0,0,0,0
218,4294967295,77520,2,340,0,0,0,0
219,4294967295,77860,2,340,0,0,0,0
220,4294967295,78200,2,340,0,0,0,0
221,4294967295,78540,2,340,0,0,0,0
222,4294967295,78880,2,340,0,0,0,0
223,4294967295,79220,2,340,0,0,0,0
224,4294967295,79560,2,340,0,0,0,0
225,4294967295,79900,2,340,0,0,0,0
226,4294967295,80240,2,340,0,0,0,0
227,4294967295,80580,2,340,0,0,0,0
228,4294967295,80920,2,340,0,0,0,0
229,4294967295,81260,2,340,0,0,0,0
230,4294967295,81600,2,340,0,0,0,0
231,4294967295,81940,2,340,0,0,0,0
232,4294967295,82280,2,340,0,0,0,0
233,4294967295,82620,2,340,0,0,0,0
234,4294967295,82960,2,340,0,0,0,0
235,4294967295,83300,2,340,0,0,0,0
236,4294967295,83640,2,340,0,0,0,0
237,4294967295,83980,2,340,0,0,0,0
238,4294967295,84320,2,340,0,0,0,0
239,4294967295,84660,2,340,0,0,0,0
240,4294967295,85000,2,340,0,0,0,0
241,4294967295,85340,2,340,0,0,0,0
242,4294967295,85680,2,340,0,0,0,0
243,4294967295,86020,2,340,0,0,0,0
244,4294967295,86360,2,340,0,0,0,0
245,4294967295,86700,2,340,0,0,0,0
246,4294967295,87040,2,340,0,0,0,0
247,4294967295,87380,2,340,0,0,0,0
248,4294967295,87720,2,340,0,0,0,0
249,4294967295,88060,2,340,0,0,0,0
250,4294967295,88400,2,340,0,0,0,0
251,4294967295,88740,2,340,0,0,0,0
252,4294967295,89080,2,340,0,0,0,0
253,4294967295,89420,2,340,0,0,0,0
254,4294967295,89760,2,340,0,0,0,0
255,4294967295,90100,2,340,0,0,0,0
256,4294967295,90440,1,340,89760,3,0,1
257,18088,18088,48,340,89760,0,2,0
258,18088,18428,2,340,89760,0,2,0
259,18088,18428,2,340,89760,0,2,0
260,18088,18428,2,340,89760,0,2,0
261,18088,18428,2,340,89760,0,2,0
262,18088,18428,2,340,89760,0,2,0
263,18088,18428,2,340,89760,0,2,0
264,18088,18428,2,340,89760,0,2,0
265,18088,18768,2,340,89760,0,2,0
266,18088,18768,2,340,89760,0,2,0
267,18088,18768,2,340,89760,0,2,0
268,18088,18768,2,340,89760,0,2,0
269,18088,18768,2,340,89760,0,2,0
270,18088,18768,2,340,89760,0,2,0
271,18088,18768,2,340,89760,0,2,0
272,18088,18768,2,340,89760,0,2,0
273,18088,19108,2,340,89760,0,2,0
274,18088,19108,2,340,89760,0,2,0
275,18088,19108,2,340,89760,0,2,0
276,18088,19108,2,340,89760,0,2,0
277,18088,19108,2,340,89760,0,2,0
278,18088,19108,2,340,89760,0,2,0
279,18088,19108,2,340,89760,0,2,0
280,18088,19108,2,340,89760,0,2,0
281,18088,19108,2,340,89760,0,2,0
282,18088,19108,2,340,89760,0,2,0
283,18088,19448,2,340,89760,0,2,0
284,18088,19448,2,340,89760,0,2,0
285,18088,19448,2,340,89760,0,2,0
286,18088,19448,2,340,89760,0,2,0
287,18088,19448,2,340,89760,0,2,0
288,18088,19448,2,340,89760,0,2,0
289,18088,19448,2,340,89760,0,2,0
290,18088,19448,2,340,89760,0,2,0
291,18088,19448,2,340,89760,0,2,0
292,18088,19448,2,340,89760,0,2,0
293,18088,19448,2,340,89760,0,2,0
294,18088,19448,2,340,89760,0,2,0
295,18088,19788,2,340,89760,0,2,0
296,18088,19788,2,340,89760,0,2,0
297,18088,19788,2,340,89760,0,2,0
298,18088,19788,2,340,89760,0,2,0
299,18088,19788,2,340,89760,0,2,0
300,18088,19788,2,340,89760,0,2,0
301,18088,19788,2,340,89760,0,2,0
302,18088,19788,2,340,89760,0,2,0
303,18088,19788,2,340,89760,0,2,0
304,18088,19788,2,340,89760,0,2,0
305,18088,19788,2,340,89760,0,2,0
306,18088,19788,2,340,89760,0,2,0
307,18088,19788,2,340,89760,0,2,0
308,18088,19788,2,340,89760,0,2,0
309,18088,19788,2,340,89760,0,2,0
310,18088,20128,2,340,89760,0,2,0
311,18088,20128,2,340,89760,0,2,0
312,18088,20128,2,340,89760,0,2,0
313,18088,20128,2,340,89760,0,2,0
314,18088,20128,2,340,89760,0,2,0
315,18088,20128,2,340,89760,0,2,0
316,18088,20128,2,340,89760,0,2,0
317,18088,20128,2,340,89760,0,2,0
318,18088,20128,2,340,89760,0,2,0
319,18088,20128,2,340,89760,0,2,0
320,18088,20128,2,340,89760,0,2,0
321,18088,20128,2,340,89760,0,2,0
322,18088,20128,2,340,89760,0,2,0
323,18088,20128,2,340,89760,0,2,0
324,18088,20128,2,340,89760,0,2,0
325,18088,20128,2,340,89760,0,2,0
326,18088,20128,2,340,89760,0,2,0
327,18088,20128,2,340,89760,0,2,0
328,18088,20128,2,340,89760,0,2,0
329,18088,20468,2,340,89760,0,2,0
330,18088,20468,2,340,89760,0,2,0
331,18088,20468,2,340,89760,0,2,0
332,18088,20468,2,340,89760,0,2,0
333,18088,20468,2,340,89760,0,2,0
334,18088,20468,2,340,89760,0,2,0
335,18088,20468,2,340,89760,0,2,0
336,18088,20468,2,340,89760,0,2,0
337,18088,20468,2,340,89760,0,2,0
338,18088,20468,2,340,89760,0,2,0
339,18088,20468,2,340,89760,0,2,0
340,18088,20468,2,340,89760,0,2,0
341,18088,20468,2,340,89760,0,2,0
342,18088,20468,2,340,89760,0,2,0
343,18088,20468,2,340,89760,0,2,0
344,18088,20468,2,340,89760,0,2,0
345,18088,20468,2,340,89760,0,2,0
346,18088,20468,2,340,89760,0,2,0
347,18088,20468,2,340,89760,0,2,0
348,18088,20468,2,340,89760,0,2,0
349,18088,20468,2,340,89760,0,2,0
350,18088,20468,2,340,89760,0,2,0
351,18088,20808,2,340,89760,0,2,0
352,18088,20808,2,340,89760,0,2,0
353,18088,20808,2,340,89760,0,2,0
354,18088,20808,2,340,89760,0,2,0
355,18088,20808,2,340,89760,0,2,0
356,18088,20808,2,340,89760,0,2,0
357,18088,20808,2,340,89760,0,2,0
358,18088,20808,2,340,89760,0,2,0
359,18088,20808,2,340,89760,0,2,0
360,18088,20808,2,340,89760,0,2,0
361,18088,20808,2,340,89760,0,2,0
362,18088,20808,2,340,89760,0,2,0
363,18088,20808,2,340,89760,0,2,0
364,18088,20808,2,340,89760,0,2,0
365,18088,20808,2,340,89760,0,2,0
366,18088,20808,2,340,89760,0,2,0
367,18088,20808,2,340,89760,0,2,0
368,18088,20808,2,340,89760,0,2,0
369,18088,20808,2,340,89760,0,2,0
370,18088,20808,2,340,89760,0,2,0
371,18088,20808,2,340,89760,0,2,0
372,18088,20808,2,340,89760,0,2,0
373,18088,20808,2,340,89760,0,2,0
374,18088,20808,2,340,89760,0,2,0
375,18088,20808,2,340,89760,0,2,0
376,18088,21148,2,340,89760,0,2,0
377,18088,21148,2,340,89760,0,2,0
378,18088,21148,2,340,89760,0,2,0
